Date,Merchant,Amount,Running Balance
01/01/2024,DIRECT DEPOSIT EMPLOYER PAYROLL,"$2,200.00","$7,200.00"
2024-01-01,SUNSET APARTMENTS RENT,"($1,800.00)","$5,400.00"
"Jan 02, 2024",WHOLE FOODS #456,($73.32),"$5,326.68"
01/03/2024,NETFLIX.COM,($15.99),"$5,310.69"
2024-01-05,SPOTIFY USA,($11.99),"$5,298.70"
"Jan 05, 2024",KROGER #1123,($33.92),"$5,264.78"
01/07/2024,PLANET FITNESS,($24.99),"$5,239.79"
2024-01-09,COMCAST XFINITY,($60.00),"$5,179.79"
"Jan 09, 2024",AMAZON.COM*A1B2,($57.21),"$5,122.58"
01/11/2024,T-MOBILE PCS SVC,($70.00),"$5,052.58"
2024-01-11,TRADER JOE'S #221,($85.59),"$4,966.99"

"Jan 15, 2024",DIRECT DEPOSIT EMPLOYER PAYROLL,"$2,200.00","$7,166.99"
01/17/2024,WHOLE FOODS #456,($30.92),"$7,136.07"
2024-01-23,TRADER JOE'S #221,($87.63),"$7,048.44"
"Feb 01, 2024",DIRECT DEPOSIT EMPLOYER PAYROLL,"$2,200.00","$9,248.44"
02/01/2024,SUNSET APARTMENTS RENT,"($1,800.00)","$7,448.44"
2024-02-02,LYFT *RIDE,($86.32),"$7,362.12"
"Feb 03, 2024",NETFLIX.COM,($15.99),"$7,346.13"
02/05/2024,SPOTIFY USA,($11.99),"$7,334.14"
2024-02-07,PLANET FITNESS,($24.99),"$7,309.15"
"Feb 09, 2024",COMCAST XFINITY,($60.00),"$7,249.15"
13/45/2024,GARBAGE ROW TEST,($9.99),$0.00
02/11/2024,T-MOBILE PCS SVC,($70.00),"$7,179.15"
2024-02-11,STARBUCKS #0912,($115.12),"$7,064.03"
"Feb 12, 2024",WHOLE FOODS #456,($49.31),"$7,014.72"
02/13/2024,BEST BUY #401,($20.23),"$6,994.49"
2024-02-15,DIRECT DEPOSIT EMPLOYER PAYROLL,"$2,200.00","$9,194.49"
"Feb 15, 2024",CHIPOTLE 1442,($49.33),"$9,145.16"
02/18/2024,BEST BUY #401,"($1,299.00)","$7,846.16"
2024-02-20,KROGER #1123,($100.55),"$7,745.61"
"Feb 24, 2024",SHELL OIL 5567,($98.01),"$7,647.60"
02/28/2024,MCDONALD'S F1123,($118.32),"$7,529.28"
2024-03-01,DIRECT DEPOSIT EMPLOYER PAYROLL,"$2,200.00","$9,729.28"
"Mar 01, 2024",SUNSET APARTMENTS RENT,"($1,800.00)","$7,929.28"
03/03/2024,NETFLIX.COM,($15.99),"$7,913.29"
2024-03-05,SPOTIFY USA,($11.99),"$7,901.30"
"Mar 06, 2024",UBER *TRIP,($75.44),"$7,825.86"
03/07/2024,PLANET FITNESS,($24.99),"$7,800.87"
2024-03-07,CHEVRON 220,($36.52),"$7,764.35"
"Mar 08, 2024",AMAZON.COM*A1B2,($36.20),"$7,728.15"
03/09/2024,COMCAST XFINITY,($60.00),"$7,668.15"
2024-03-09,STARBUCKS #0912,($58.70),"$7,609.45"
"Mar 11, 2024",T-MOBILE PCS SVC,($70.00),"$7,539.45"
03/13/2024,LYFT *RIDE,($80.72),"$7,458.73"
2024-03-15,DIRECT DEPOSIT EMPLOYER PAYROLL,"$2,200.00","$9,658.73"
"Mar 18, 2024",WHOLE FOODS #456,($512.40),"$9,146.33"
03/22/2024,MCDONALD'S F1123,($46.50),"$9,099.83"
2024-03-25,MCDONALD'S F1123,($102.09),"$8,997.74"
"Mar 26, 2024",TRADER JOE'S #221,($99.69),"$8,898.05"
04/01/2024,DIRECT DEPOSIT EMPLOYER PAYROLL,"$2,200.00","$11,098.05"
2024-04-01,SUNSET APARTMENTS RENT,"($1,800.00)","$9,298.05"
"Apr 03, 2024",NETFLIX.COM,($15.99),"$9,282.06"
04/04/2024,LYFT *RIDE,($63.88),"$9,218.18"
2024-04-05,SPOTIFY USA,($11.99),"$9,206.19"
"Apr 05, 2024",LYFT *RIDE,($119.70),"$9,086.49"
04/07/2024,PLANET FITNESS,($24.99),"$9,061.50"
2024-04-09,COMCAST XFINITY,($60.00),"$9,001.50"
"Apr 11, 2024",T-MOBILE PCS SVC,($70.00),"$8,931.50"
04/13/2024,CHEVRON 220,($108.35),"$8,823.15"
2024-04-13,BEST BUY #401,($13.24),"$8,809.91"
"Apr 14, 2024",SHELL OIL 5567,($18.72),"$8,791.19"
04/15/2024,DIRECT DEPOSIT EMPLOYER PAYROLL,"$2,200.00","$10,991.19"
2024-04-18,BEST BUY #401,($34.66),"$10,956.53"
"Apr 18, 2024",WHOLE FOODS #456,($83.71),"$10,872.82"
04/18/2024,BEST BUY #401,"($1,499.99)","$9,372.83"
2024-04-24,DOORDASH*PANDA,($6.37),"$9,366.46"
"Apr 26, 2024",TRADER JOE'S #221,($77.53),"$9,288.93"
04/28/2024,AMAZON.COM*A1B2,($92.16),"$9,196.77"
2024-05-01,DIRECT DEPOSIT EMPLOYER PAYROLL,"$2,200.00","$11,396.77"
"May 01, 2024",SUNSET APARTMENTS RENT,"($1,800.00)","$9,596.77"
05/03/2024,NETFLIX.COM,($15.99),"$9,580.78"
2024-05-04,KROGER #1123,($61.70),"$9,519.08"
"May 05, 2024",SPOTIFY USA,($11.99),"$9,507.09"
05/06/2024,STARBUCKS #0912,($48.63),"$9,458.46"
2024-05-07,PLANET FITNESS,($24.99),"$9,433.47"
"May 08, 2024",SHELL OIL 5567,($33.30),"$9,400.17"
05/09/2024,COMCAST XFINITY,($60.00),"$9,340.17"
2024-05-11,T-MOBILE PCS SVC,($70.00),"$9,270.17"
"May 15, 2024",DIRECT DEPOSIT EMPLOYER PAYROLL,"$2,200.00","$11,470.17"
05/16/2024,TRADER JOE'S #221,($20.64),"$11,449.53"
2024-05-18,CHIPOTLE 1442,($388.75),"$11,060.78"
"May 20, 2024",MCDONALD'S F1123,($66.15),"$10,994.63"
05/22/2024,MCDONALD'S F1123,($51.49),"$10,943.14"
2024-05-25,AMAZON.COM*A1B2,($111.90),"$10,831.24"
"May 27, 2024",WHOLE FOODS #456,($89.44),"$10,741.80"
06/01/2024,DIRECT DEPOSIT EMPLOYER PAYROLL,"$2,200.00","$12,941.80"
2024-06-01,SUNSET APARTMENTS RENT,"($1,800.00)","$11,141.80"
"Jun 02, 2024",TRADER JOE'S #221,($13.68),"$11,128.12"
06/03/2024,NETFLIX.COM,($15.99),"$11,112.13"
2024-06-03,SUBWAY 33021,($31.10),"$11,081.03"
"Jun 05, 2024",SPOTIFY USA,($11.99),"$11,069.04"
06/07/2024,PLANET FITNESS,($24.99),"$11,044.05"
2024-06-08,BEST BUY #401,($57.47),"$10,986.58"
"Jun 09, 2024",COMCAST XFINITY,($60.00),"$10,926.58"
06/09/2024,UBER *TRIP,($64.61),"$10,861.97"
2024-06-11,T-MOBILE PCS SVC,($70.00),"$10,791.97"
"Jun 15, 2024",DIRECT DEPOSIT EMPLOYER PAYROLL,"$2,200.00","$12,991.97"
06/18/2024,SHELL OIL 5567,($415.60),"$12,576.37"
2024-06-19,CHIPOTLE 1442,($44.54),"$12,531.83"
"Jun 22, 2024",AMAZON.COM*A1B2,($16.75),"$12,515.08"
06/24/2024,AMAZON.COM*A1B2,($67.47),"$12,447.61"
2024-06-26,AMAZON.COM*A1B2,($95.45),"$12,352.16"
